Group ID,move,is_checkmate,is_draw,material_eval,mobility,castling,attack_undefended,move_clock,is_best_move
1,g8h6,False,False,0,30,0,0,2,False
1,g8f6,False,False,0,30,0,1,2,False
1,b8c6,False,False,0,30,0,0,2,False
1,b8a6,False,False,0,30,0,0,2,False
1,h7h6,False,False,0,30,0,0,2,False
1,g7g6,False,False,0,30,0,0,2,False
1,f7f6,False,False,0,30,0,0,2,False
1,e7e6,False,False,0,30,0,0,2,True
1,d7d6,False,False,0,30,0,0,2,False
1,c7c6,False,False,0,30,0,0,2,False
1,b7b6,False,False,0,30,0,0,2,False
1,a7a6,False,False,0,30,0,0,2,False
1,h7h5,False,False,0,30,0,0,2,False
1,g7g5,False,False,0,30,0,0,2,False
1,f7f5,False,False,0,31,0,1,2,False
1,e7e5,False,False,0,29,0,0,2,False
1,d7d5,False,False,0,31,0,1,2,False
1,c7c5,False,False,0,30,0,0,2,False
1,b7b5,False,False,0,29,0,0,2,False
1,a7a5,False,False,0,30,0,0,2,False
2,g8e7,False,False,0,28,0,0,3,False
2,g8h6,False,False,0,28,0,0,3,False
2,g8f6,False,False,0,28,0,1,3,False
2,f8e7,False,False,0,28,0,0,3,False
2,f8d6,False,False,0,28,0,0,3,False
2,f8c5,False,False,0,28,0,0,3,False
2,f8b4,False,False,0,25,0,0,3,False
2,f8a3,False,False,0,27,0,0,3,False
2,e8e7,False,False,0,28,-2,0,3,False
2,d8e7,False,False,0,28,0,0,3,False
2,d8f6,False,False,0,28,0,0,3,False
2,d8g5,False,False,0,28,0,0,3,False
2,d8h4,False,False,0,27,0,1,3,False
2,b8c6,False,False,0,28,0,0,3,False
2,b8a6,False,False,0,28,0,0,3,False
2,h7h6,False,False,0,28,0,0,3,False
2,g7g6,False,False,0,28,0,0,3,False
2,f7f6,False,False,0,28,0,0,3,False
2,d7d6,False,False,0,28,0,0,3,False
2,c7c6,False,False,0,28,0,0,3,True
2,b7b6,False,False,0,28,0,0,3,False
2,a7a6,False,False,0,28,0,0,3,False
2,e6e5,False,False,0,27,0,0,3,False
2,h7h5,False,False,0,28,0,0,3,False
2,g7g5,False,False,0,28,0,0,3,False
2,f7f5,False,False,0,29,0,1,3,False
2,d7d5,False,False,0,29,0,1,3,False
2,c7c5,False,False,0,28,0,0,3,False
2,b7b5,False,False,0,27,0,0,3,False
2,a7a5,False,False,0,28,0,0,3,False
3,g8e7,False,False,0,30,0,0,4,False
3,g8h6,False,False,0,30,0,0,4,False
3,g8f6,False,False,0,30,0,0,4,False
3,f8e7,False,False,0,30,0,0,4,True
3,f8d6,False,False,0,30,0,0,4,False
3,f8c5,False,False,0,30,0,0,4,False
3,f8b4,False,False,0,29,0,0,4,False
3,f8a3,False,False,0,29,0,0,4,False
3,e8e7,False,False,0,30,-2,0,4,False
3,d8e7,False,False,0,30,0,0,4,False
3,d8c7,False,False,0,30,0,0,4,False
3,d8f6,False,False,0,30,0,0,4,False
3,d8b6,False,False,0,30,0,0,4,False
3,d8g5,False,False,0,30,0,0,4,False
3,d8a5,False,False,0,30,0,0,4,False
3,d8h4,False,False,0,29,0,0,4,False
3,b8a6,False,False,0,30,0,0,4,False
3,h7h6,False,False,0,30,0,0,4,False
3,g7g6,False,False,0,30,0,0,4,False
3,f7f6,False,False,0,30,0,0,4,False
3,d7d6,False,False,0,30,0,0,4,False
3,b7b6,False,False,0,30,0,0,4,False
3,a7a6,False,False,0,30,0,0,4,False
3,e6e5,False,False,0,29,0,0,4,False
3,c6c5,False,False,0,30,0,0,4,False
3,h7h5,False,False,0,30,0,0,4,False
